waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy,energyExceedance
1993,365,718.1,192.8,18.84,81.97,578.6,156.8,1812,18.2,3.51,13.4,0.276,0.0891,0.459,0,0,0,0,0,0,0.455,0.21,0.12,0.17,0.5,0,0,0,4.8,0.19,0.74,0.26,39.5,0.95
1994,365,567.9,192.8,0,64.83,416.8,134.4,1250,13.1,2.89,10.2,0.294,0.1,0.539,0,17,0,0,0.047,0,0.36,0.13,0.085,0.22,0.57,0,17,0.04657534246575343,2.9,0.22,0.78,0.22,43.4,0.98688605108055
1995,366,514.5,144.6,0,58.58,370.6,127.7,851.4,11.7,2.87,8.85,0.3,0.147,0.536,0,15,0,0,0.041,0,0.326,0,0.19,0.24,0.56,0,15,0.0410958904109589,2.85,0.25,0.76,0.24,44,1
1996,365,767.9,192.8,17,87.67,556.8,127.7,1388,17.6,3.23,14.1,0.248,0.109,0.452,0,0,0,0,0,0,0.487,0.24,0.13,0.18,0.45,0,0,0,3.5,0.18,0.8,0.2,43.6,0.9043956043956045
1997,365,815.7,192.8,20.17,93.12,1098,155.5,3553,34.6,5.06,17.5,0.244,0.0539,0.564,0,0,0,0,0,0,0.517,0.35,0.11,0.18,0.36,0,0,0,17.1,0.15,0.51,0.49,23.6,0.7584745762711863
1998,365,831.4,192.8,21.74,94.9,1061,171.9,3389,33.5,4.85,17.6,0.245,0.064,0.564,0,0,0,0,0,0,0.527,0.35,0.12,0.19,0.34,0,0,0,15.9,0.14,0.53,0.47,24.8,0.6904109589041096
1999,366,792.6,192.8,0,90.23,864.1,194.2,3367,27.3,4.21,16,0.242,0.0468,0.461,0,4,0,0,0.011,0,0.503,0.28,0.12,0.22,0.38,0,4,0.010958904109589041,11.3,0.15,0.59,0.41,29,0.8457286432160802
2000,365,850.9,192.8,19.47,97.13,1224,138,3690,38.6,5.3,18.7,0.234,0.0624,0.49,0,0,0,0,0,0,0.54,0.38,0.12,0.19,0.31,0,0,0,19.9,0.14,0.48,0.52,22,0.5832369942196532
2001,365,884.6,192.8,0,101,799.5,198.1,2018,25.2,4.55,17.3,0.264,0.0777,0.53,0,6,0,0,0.016,0,0.561,0.31,0.15,0.24,0.3,0,6,0.01643835616438356,7.9,0.18,0.69,0.31,35.1,0.3374213836477987
2002,365,865.7,192.8,0,98.83,1081,197.5,3892,34.1,5.25,18.3,0.252,0.0619,0.525,0,9,0,0,0.025,0,0.549,0.38,0.12,0.16,0.34,0,9,0.024657534246575342,15.8,0.15,0.54,0.46,25.4,0.5229508196721308
2003,366,839.8,192.8,0,95.6,1334,188.1,4431,42.2,5.63,18.9,0.246,0.0539,0.499,0,6,0,0,0.016,0,0.533,0.39,0.11,0.18,0.32,0,6,0.01643835616438356,23.3,0.13,0.45,0.55,19.9,0.6339743589743592
2004,365,872.4,192.8,0,99.59,641.2,195.8,1320,20.2,3.76,16.3,0.253,0.0991,0.476,0,6,0,0,0.016,0,0.553,0.3,0.13,0.22,0.35,0,6,0.01643835616438356,3.9,0.19,0.81,0.19,43.2,0.45568181818181824
2005,365,879,192.8,18.38,100.3,965.3,155.5,2684,30.4,4.95,18,0.255,0.0787,0.538,0,0,0,0,0,0,0.557,0.38,0.099,0.17,0.35,0,0,0,12.4,0.16,0.59,0.41,28.9,0.36666666666666664
2006,365,870.1,192.8,25.57,99.32,1472,209.5,4670,46.4,6.07,20,0.245,0.0424,0.496,0,0,0,0,0,0,0.552,0.42,0.1,0.21,0.27,0,0,0,26.4,0.13,0.43,0.57,18.8,0.4818181818181815
2007,366,926.2,192.8,27.22,105.4,1305,236.7,3345,41.3,5.51,20.5,0.241,0.0484,0.49,0,0,0,0,0,0,0.587,0.45,0.079,0.18,0.28,0,0,0,20.8,0.13,0.5,0.5,22.4,0.18835227272727267
2008,365,836,192.8,0,95.44,1521,179.5,5806,48,6,20.2,0.239,0.0412,0.48,0,0,21,0,0,0.058,0.53,0.44,0.11,0.15,0.29,0,21,0.057534246575342465,27.8,0.13,0.42,0.58,17.4,0.6589041095890409
2009,365,896.8,192.8,25.57,102.4,1710,212.1,5180,53.9,6.38,21.4,0.225,0.0469,0.462,0,0,0,0,0,0,0.569,0.46,0.12,0.22,0.19,0,0,0,32.5,0.12,0.4,0.6,16.6,0.298684210526316
2010,365,907.7,192.8,25.21,103.6,1701,223.9,4449,53.6,6.33,21.7,0.224,0.0518,0.491,0,0,0,0,0,0,0.576,0.49,0.082,0.21,0.22,0,0,0,31.9,0.12,0.4,0.6,16.9,0.25087719298245587
2011,366,946.1,192.8,29.73,107.7,1217,243.7,3585,38.5,5.58,20.3,0.237,0.0625,0.469,0,0,0,0,0,0,0.6,0.43,0.11,0.2,0.27,0,0,0,18.2,0.14,0.53,0.47,24.6,0.12746478873239434
2012,365,874.7,192.8,25.3,99.85,1344,221.3,3649,42.4,5.41,19.7,0.246,0.0552,0.508,0,0,0,0,0,0,0.555,0.43,0.085,0.17,0.31,0,0,0,22.7,0.13,0.46,0.54,20.6,0.4189655172413779
2013,365,960.6,192.8,0,109.7,1347,198.1,3614,42.5,5.96,21.2,0.234,0.0566,0.49,0,10,0,0,0.027,0,0.609,0.45,0.14,0.16,0.24,0,10,0.0273972602739726,21.3,0.14,0.5,0.5,22.6,0.09172839506172835
2014,365,915,192.8,25.84,104.4,704.1,207.1,1466,22.2,4.44,17.2,0.272,0.1,0.545,0,0,0,0,0,0,0.58,0.33,0.13,0.19,0.35,0,0,0,5,0.2,0.77,0.23,41.2,0.225
2015,366,816.5,192.8,22.42,92.95,1020,174.9,2994,32.2,4.73,17.2,0.246,0.0673,0.498,0,0,0,0,0,0,0.518,0.34,0.099,0.19,0.38,0,0,0,15,0.15,0.53,0.47,25.4,0.7516949152542376
2016,365,879.1,192.8,0,100.4,1087,155.5,3913,34.3,4.88,18.6,0.24,0.047,0.482,0,1,0,0,0.0027,0,0.558,0.43,0.049,0.18,0.34,0,1,0.0027397260273972603,15.7,0.14,0.54,0.46,25.6,0.36562499999999976
2017,365,873.6,192.8,21.74,99.73,1614,171.9,4829,50.9,6.01,20.7,0.223,0.0556,0.559,0,0,0,0,0,0,0.554,0.46,0.099,0.19,0.26,0,0,0,30.2,0.12,0.41,0.59,17.2,0.4379310344827578
2018,365,739.1,182.4,0,84.37,516.7,156.7,1092,16.3,3.21,13.1,0.251,0.108,0.529,0,10,0,0,0.027,0,0.469,0.14,0.23,0.22,0.41,0,10,0.0273972602739726,3.2,0.2,0.8,0.2,45.3,0.9307692307692308
2019,366,836.1,192.8,17.07,95.19,1381,128.1,4670,43.7,5.42,18.9,0.22,0.0544,0.444,0,0,0,0,0,0,0.53,0.37,0.13,0.25,0.25,0,0,0,24.8,0.12,0.43,0.57,19.1,0.6582191780821913
2020,365,942.3,192.8,34.24,107.6,1356,260.1,3732,42.8,5.96,20.8,0.236,0.051,0.471,0,0,0,0,0,0,0.598,0.45,0.099,0.21,0.24,0,0,0,22,0.14,0.49,0.51,22,0.1408450704225355
2021,365,916.3,192.8,32.43,104.6,1087,263.5,3102,34.3,5.49,19.1,0.252,0.0704,0.532,0,0,0,0,0,0,0.581,0.38,0.14,0.16,0.32,0,0,0,15.2,0.16,0.56,0.44,26.7,0.22042253521126778
2022,365,939.6,192.8,28.86,107.3,1152,228.8,2768,36.3,5.43,19.9,0.247,0.0618,0.519,0,0,0,0,0,0,0.596,0.43,0.082,0.2,0.28,0,0,0,16.4,0.15,0.55,0.45,25.9,0.15028409090909095
2023,366,717.8,144.6,28.35,81.72,507.6,217.9,875.5,16.1,3.72,12.3,0.272,0.138,0.462,0,0,0,0,0,0,0.455,0,0.44,0.2,0.36,0,0,0,3.8,0.23,0.76,0.24,44.6,0.9500736738703339
