date,waterYear,waterMonth,energy
1999-12-23,1999,3,609.5891762475428
1999-12-24,1999,3,611.1564429539781
1999-12-25,1999,3,622.2608006985532
1999-12-26,1999,3,614.3509073716783
1999-12-27,1999,3,600.0825648399971
1999-12-28,1999,3,585.8647542319723
1999-12-29,1999,3,596.8994014282224
1999-12-30,1999,3,604.8330625280707
1999-12-31,1999,3,587.4227780520062
2000-01-01,1999,4,503.4061499856008
2000-01-02,1999,4,504.7698664811178
2000-01-03,1999,4,516.7123517125426
2000-01-04,1999,4,545.150498029428
2000-01-05,1999,4,565.5639448917559
2000-01-06,1999,4,586.0265390205658
2000-01-07,1999,4,606.6536749406848
2000-01-08,1999,4,630.5424321882838
2000-01-09,1999,4,651.3415499080659
2000-01-10,1999,4,659.3968071334757
2000-01-11,1999,4,651.3415499080659
2000-01-12,1999,4,633.699358658175
2000-01-13,1999,4,628.9064792599211
2000-01-14,1999,4,646.5277649526525
2000-01-15,1999,4,654.5735008836597
2000-01-16,1999,4,665.8171007716232
2000-01-17,1999,4,680.0380944023235
2000-01-18,1999,4,696.6651922731104
2000-01-19,1999,4,713.1650975532475
2000-01-20,1999,4,735.6651462981
2000-01-21,1999,4,749.1792213872714
2000-01-22,1999,4,771.7263728722339
2000-01-23,1999,4,779.2670808325979
2000-01-24,1999,4,783.7821042218866
2000-01-25,1999,4,800.3659178980577
2000-01-26,1999,4,828.7096301728925
2000-01-27,1999,4,848.0502864885198
2000-01-28,1999,4,870.6801631148235
2000-01-29,1999,4,891.6641625668158
2000-01-30,1999,4,902.9509198255982
2000-01-31,1999,4,907.8026245584579
2000-02-01,1999,5,859.2100943674944
2000-02-02,1999,5,876.3009768312992
2000-02-03,1999,5,890.7604605934177
2000-02-04,1999,5,915.2327569537622
2000-02-05,1999,5,929.9713014326608
2000-02-06,1999,5,964.5331910568536
2000-02-07,1999,5,1004.1603120358268
2000-02-08,1999,5,1023.9411364258069
2000-02-09,1999,5,1040.6138305316927
2000-02-10,1999,5,1072.5775515715009
