waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,grossHeadMin,grossHeadMax,netHeadMin,netHeadMax,headlossMax,headlossMin,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy,energyExceedance,energyPctVariation,riverVolumePctVariation,riverFlowPctVariation
1973,365,955.4,195.7,24.61,109.1,1126,208.1,2854,16.8,25.6,15,25.4,1.87,0.188,35.5,5.29,20.1,0.243,0.0598,0.532,0,0,0,0,0,0,0.606,0.44,0.11,0.15,0.3,0,0,0,15.4,0.15,0.57,0.43,26.9,0.1164921465968588,0.10196078431372546,0.01719197707736394,0.014414414414414415
1974,365,893.8,197.4,26.65,102,1612,216.8,5518,11.7,25.5,9.88,25.3,1.87,0.204,50.8,6.26,20.9,0.233,0.0438,0.472,0,0,0,0,0,0,0.567,0.45,0.12,0.18,0.26,0,0,0,29.9,0.12,0.41,0.59,17.6,0.34370860927152325,0.03091118800461356,0.45558739255014324,0.45225225225225224
1975,366,876.4,195.3,28.83,99.77,1583,239.5,5537,11.7,25.4,9.86,25.1,1.87,0.223,50.1,6.24,20.3,0.229,0.0435,0.459,0,0,0,0,0,0,0.556,0.4,0.15,0.28,0.17,0,0,0,29.8,0.12,0.41,0.59,17.5,0.45,0.01084198385236445,0.43553008595988546,0.4261261261261261
1976,365,1000,197.8,44.89,114.2,1143,337.2,2845,16.9,24.9,15,24.6,1.87,0.255,36,5.64,20.7,0.223,0.0755,0.42,0,0,0,0,0,0,0.634,0.4,0.14,0.42,0.038,0,0,0,15.3,0.16,0.57,0.43,27.8,0.04753820033955859,0.15340253748558247,0.03151862464183385,0.02972972972972973
1977,365,973.1,196.7,36.48,111.1,1899,273.3,6342,10.6,25.2,8.81,24.9,1.87,0.249,59.9,6.47,23.4,0.196,0.0435,0.424,0,0,0,0,0,0,0.617,0.53,0.13,0.18,0.15,0,0,0,36.5,0.11,0.39,0.61,16.2,0.08389830508474579,0.12237600922722032,0.7163323782234957,0.7108108108108108
1978,365,1054,196.5,43.99,120.3,1498,341.6,5397,11.9,24.9,10.1,24.5,1.87,0.255,47.3,6.23,23,0.199,0.0547,0.431,0,0,0,0,0,0,0.668,0.46,0.19,0.33,0.019,0,0,0,24.3,0.13,0.49,0.51,22.3,0.0016977928692699443,0.21568627450980393,0.3553008595988538,0.34954954954954953
1979,366,1043,196.4,39.38,118.8,1317,313.5,3065,16.3,25,14.5,24.7,1.87,0.252,41.6,5.68,22.3,0.211,0.062,0.44,0,0,0,0,0,0,0.662,0.46,0.15,0.28,0.11,0,0,0,19.3,0.14,0.54,0.46,25.1,0.011035653650254669,0.2029988465974625,0.19197707736389694,0.1864864864864865
1980,365,961.9,195.7,33.81,109.8,1159,283.2,3456,15.5,25.2,13.6,24.9,1.87,0.249,36.6,5.69,20,0.237,0.0608,0.476,0,0,0,0,0,0,0.61,0.38,0.16,0.28,0.18,0,0,0,16.6,0.16,0.55,0.45,26.3,0.09971751412429389,0.10945790080738176,0.04871060171919779,0.044144144144144144
1981,365,820.1,198,27.61,93.61,599,242.4,1435,20.7,25.3,18.9,25.1,1.82,0.214,18.9,3.98,14.7,0.266,0.0881,0.487,0,0,0,0,0,0,0.52,0.2,0.19,0.27,0.33,0,0,0,4.2,0.21,0.78,0.22,43.4,0.7881818181818181,-0.05409457900807379,-0.4584527220630373,-0.4603603603603604
1982,365,870.6,188.3,22.58,99.39,616.1,220.7,1140,21.7,25.5,20.3,25.3,1.38,0.175,19.4,3.9,15.5,0.252,0.111,0.535,0,0,0,0,0,0,0.552,0.23,0.23,0.23,0.31,0,0,0,3.9,0.2,0.8,0.2,44.9,0.5267441860465114,0.004152249134948123,-0.44412607449856734,-0.44495495495495496
