year,month,waterMonth,waterYear,flowMean,flowMin,flowMax,flowMedian,flowChange,flowChangePercent,volume,flowMeanVariance,flowMeanCalMonthExceedance
1972,7,10,1971,583,470,794,563,-324,-0.6892605392359219,1561,-0.8033726812816189,0.4428057553956835
1972,8,11,1971,415,360,467,418,-107,-0.2964027921934883,1113,-0.8129788192879676,0.3250909090909091
1972,9,12,1971,325,299,360,329,-61,-0.204453802894392,843,-0.7298420615128844,0.29117647058823526
1972,10,1,1972,285,276,299,284,-9,-0.029802601820542715,764,-0.5161290322580645,0.17
1972,11,2,1972,310,291,329,310,39,0.11750649703409526,804,-0.19480519480519481,0.25
1972,12,3,1972,387,335,505,370,110,0.24704447692395995,1037,0.34375,0.6093023255813953
1973,1,4,1972,527,440,609,523,166,0.27266293534552377,1412,1.205020920502092,0.8113483146067417
1973,2,5,1972,704,609,779,720,171,0.21885902414006853,1703,1.5507246376811594,0.8597560975609756
1973,3,6,1972,895,779,1051,892,271,0.2581341794474926,2397,1.0717592592592593,0.9224324324324326
1973,4,7,1972,1145,1060,1208,1142,148,0.1226182466963393,2969,0.5924895688456189,0.9331073446327683
1973,5,8,1972,1110,906,1208,1132,-302,-0.3328656036694785,2974,-0.1759465478841871,0.9106188925081433
1973,6,9,1972,631,467,885,610,-418,-0.8946715947086347,1637,-0.75069142631371,0.9001246882793018
1973,7,10,1972,404,354,463,398,-109,-0.3067462474911223,1081,-0.863743676222597,0.8464285714285714
1973,8,11,1972,317,274,350,324,-76,-0.2792720543388427,848,-0.8571428571428571,0.75
1973,9,12,1972,249,229,274,248,-44,-0.19357488026342445,645,-0.7930174563591023,0.6739130434782608
1973,10,1,1973,233,209,257,235,32,0.1247129756173267,624,-0.6044142614601019,0.47
1973,11,2,1973,279,246,320,269,64,0.1984051656649552,722,-0.2753246753246753,0.43
1973,12,3,1973,525,329,863,446,532,0.6159614478915296,1407,0.8229166666666666,0.19
1974,1,4,1973,909,819,1096,914,155,0.14170083988541268,2435,2.803347280334728,0.150561797752809
1974,2,5,1973,1769,1086,2705,1599,1608,0.594612638183996,4279,5.409420289855072,0.16689320388349516
1974,3,6,1973,2614,2310,2840,2681,-439,-0.18996502770863677,7001,5.050925925925926,0.4153846153846155
1974,4,7,1973,2301,2232,2450,2266,149,0.06064909063120919,5964,2.200278164116829,0.6842541436464088
1974,5,8,1973,2289,1836,2543,2335,-652,-0.3552459119538005,6130,0.6993318485523385,0.45940959409594107
1974,6,9,1973,1301,804,1808,1279,-1004,-1.2493692409121433,3373,-0.48597392335045436,0.380404984423676
1974,7,10,1973,552,443,761,533,-318,-0.7175465524101444,1477,-0.8138279932546374,0.4698347107438016
1974,8,11,1973,382,335,440,377,-105,-0.3116803744351169,1022,-0.8278503830554303,0.46957746478873236
1974,9,12,1973,299,261,332,303,-70,-0.26868095727459423,775,-0.7514546965918537,0.36
1974,10,1,1974,234,221,261,235,-18,-0.07441344127245988,627,-0.6027164685908319,0.4578947368421053
1974,11,2,1974,284,246,324,284,77,0.2392607402297682,736,-0.2623376623376623,0.38120000000000004
1974,12,3,1974,511,329,616,512,286,0.46525193516880914,1368,0.7743055555555556,0.2282608695652174
1975,1,4,1974,912,619,1384,844,765,0.5528524118996424,2441,2.8158995815899583,0.1423076923076924
1975,2,5,1974,2642,1384,3356,2790,1895,0.5780055835066531,6391,8.572463768115941,0.08793454004463178
1975,3,6,1974,4019,3169,5359,3689,2081,0.38821773933598297,10765,8.30324074074074,0.14232927970065493
1975,4,7,1974,4807,3831,5415,5098,-1566,-0.408685782076573,12461,5.68567454798331,0.06790508897908201
1975,5,8,1974,2846,2102,3734,2873,-1632,-0.7764847723615725,7623,1.1128433556050483,0.19817965967550463
1975,6,9,1974,1467,1060,1922,1466,-862,-0.8128821896300995,3803,-0.4203871987356776,0.25
1975,7,10,1974,735,564,1028,703,-464,-0.8225763157160364,1970,-0.7521079258010118,0.208974358974359
1975,8,11,1974,472,387,564,477,-177,-0.458944798627815,1264,-0.7872915727805317,0.16686274509803922
1975,9,12,1974,336,299,381,332,-82,-0.27293496587918564,870,-0.7206982543640897,0.2
1975,10,1,1975,266,240,295,271,-51,-0.21145881315638312,711,-0.5483870967741935,0.33
1975,11,2,1975,263,240,291,257,51,0.17513523974990697,681,-0.3168831168831169,0.522962962962963
1975,12,3,1975,400,312,480,403,168,0.3498436715812517,1072,0.3888888888888889,0.52
1976,1,4,1975,602,512,728,583,216,0.29702142734456793,1614,1.5188284518828452,0.57
